中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
规模池供应商数量,,原子指标,T2,供应链,SUM.00.000.119,管理池为规模池的供应商数量,无,无,,"品牌,品类",家,供应链
规模池订单量,,原子指标,T2,供应链,SUM.00.000.120,管理池为规模池的供应商的订单量,无,无,,"品牌,品类",单,供应链
供应商欠款次数,,原子指标,T2,供应链,SUM.00.000.121,材料供应商拖欠成衣供应商货款次数,无,无,,品牌,次,供应链
供应商欠款金额,,原子指标,T2,供应链,SUM.00.000.122,材料供应商拖欠成衣供应商货款金额,无,无,,品牌,元,供应链
出货次数,,原子指标,T2,供应链,SUM.00.000.123,实际出货次数,无,无,,"品牌,品类",次,供应链
违约金扣款金额,,原子指标,T2,供应链,SUM.00.000.124,实际产生的违约金的扣款金额,无,无,,"品牌,品类",元,供应链
迪士尼认证供应商个数,,原子指标,T2,供应链,SUM.00.000.125,通过迪士尼认证的供应商个数,无,无,,"品牌,大类",家,供应链
迪士尼认证供应商临期个数,,原子指标,T2,供应链,SUM.00.000.126,通过迪士尼认证有效期小于3个月的供应商个数,无,无,,"品牌,大类",家,供应链
迪士尼认证款数,,原子指标,T2,供应链,SUM.00.000.127,通过迪士尼IP认证款数（不含退货款）,无,无,,"品牌,大类",款,供应链
迪士尼订单数量,,原子指标,T2,供应链,SUM.00.000.128,通过迪士尼IP款式的订单数量（不含退货款）,无,无,,"品牌,大类",单,供应链
