中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
换货退款数量,,原子指标,T2,,BUS1040,发给买家后因换货退回的商品数量,发给买家后因换货退回的商品数量,,,,,
加盟_退货市值,,复合指标,T2,,BUS1041,统计周期内，加盟经销商退货的商品市值，即：加盟-退货数量 * 吊牌价,,加盟_退货数量 * 吊牌价,,"品牌,渠道,代理商,商品维度",元,统筹运营中心>经营分析部
拒收退款金额,,原子指标,T2,,BUS1042,订单发出后买家拒收和公司通知快递截回的退货金额,订单发出后买家拒收和公司通知快递截回的退货金额,,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
拒收退款数量,,原子指标,T2,,BUS1044,订单发出后买家拒收和公司通知快递截回的退货数量,订单发出后买家拒收和公司通知快递截回的退货数量（需退货入库完成）,,,"品牌,渠道,店铺,商品维度",件,统筹运营中心>经营分析部
退货退款金额,,原子指标,T2,,BUS1048,发给买家后买家又申请的退货且退款金额,发给买家后买家又申请的退货且退款金额,,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
退货退款数量,,原子指标,T2,,BUS1050,发给买家后买家又申请的退货且退款数量,发给买家后买家又申请的退货且退款数量（需退货入库完成）,,,"品牌,渠道,店铺,商品维度",件,统筹运营中心>经营分析部
退款数量,,原子指标,T2,,BUS1053,退款退款数量+未发货退款数量+拒收退款数量,退款数量=退款退款数量+未发货退款数量+拒收退款数量,退款退款数量+未发货退款数量+拒收退款数量,,"品牌,渠道,店铺,商品维度",件,统筹运营中心>经营分析部
未发货退款数量,,原子指标,T2,,BUS1056,还未发货即申请退货的数量,还未发货即申请退货的数量,,,"品牌,渠道,店铺,商品维度",件,统筹运营中心>经营分析部
已发货仅退款金额,,原子指标,T2,,BUS1057,已经出库且没有退货的退款金额，通常是退差价行为，需要买家在后台主动申请,已经出库且没有退货的退款金额，通常是退差价行为，需要买家在后台主动申请,,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
已发货退款金额,,复合指标,T2,,BUS1058,已发货仅退款金额+额外退款金额+拒收退款金额+退货退款金额,已发货仅退款金额+额外退款金额+拒收退款金额+退货退款金额,,,,,
直营_退货市值,,复合指标,T2,,BUS1061,统计周期内，直营子公司退货的商品市值，即：直营-退货数量 * 吊牌价,,直营_退货数量 * 吊牌价,,"品牌,渠道,代理商,商品维度",,统筹运营中心>经营分析部
客群指数,,复合指标,T2,,BUS1095,统计时间内，根据该行业支付用户数进行指数化后的指数类指标。客群指数越高，代表支付用户数越高。指数之间差值不代表实际指标差值，仅代表高低。该指标仅在非一级类目下展现,统计时间内，根据该行业支付用户数进行指数化后的指数类指标。客群指数越高，代表支付用户数越高。指数之间差值不代表实际指标差值，仅代表高低。该指标仅在非一级类目下展现,,,"类目,平台,时间周期（日,周,月）",,数据部
老客数,,原子指标,T2,,BUS1098,在筛选日期内发生2次及以上成交的买家数（2022-08-27后平台加密客户数据导致无法计算）,在筛选日期前发生过成交，且在筛选日期内再次成交的买家数,,,,,
新客数,,原子指标,T2,,BUS1103,历史从未在筛选店铺内成交或历史有过成交但累计成交金额小于等于1.00元，且在筛选日期内产生第一次成交的买家数（2022-08-27后平台加密客户数据导致无法计算）,历史从未在筛选店铺内成交或历史有过成交但累计成交金额小于等于1.00元，且在筛选日期内产生第一次成交的买家数,,,,,
